Paper,marker_used,number_of_species,MRCA,phylogenetic_scale,hypothesis,major_factors,proportion_of_variance,notes,metric
Karron 1987,allozymes,,160,plants,Nc,rarity,,"significant, but not measured",polymorphisms
Leffler et al 2012,,22,50,Drosophila,Nc,geographic range,,"significant, but not measured",pi
Leffler et al 2012,22,12,106,plants,life history,selfing vs. not,,"significant, but not measured",pi
Loveless 1992,allozymes,97,300,multiple orders,Nc,geographic range,,"significant, but not measured",Hs
Loveless 1992,allozymes,97,300,multiple orders,life history,life form,,"significant, but not measured",Hs
Loveless 1992,allozymes,97,300,multiple orders,phylogeny,taxonomy,,"significant, but not measured",Hs
McCusker and Bentzen 2010,mtDNA,~100,450,multiple orders,Nc,abundance,0.09,other metrics showed higher correlations,pi
McCusker and Bentzen 2010,microsats,~100,450,multiple orders,Nc,abundance,0.45,other metrics showed higher correlations; approximate estimate,He
Miller et al 2010,mtDNA,9,70,multiple families,environment,elevation,,"significant, but not measured",pi
Mitton and Lewis 1989,allozymes,72,200,bony fish,Nc,body size,0.3025,not phylogenetic,H
Nabholz et al 2008,mtDNA,89 - 176,160,9 orders,mutation rate,mutation rate,0.11,substitution rate used as proxy for mutation rate,pi
Nabholz et al 2008,mtDNA,89 - 176,160,9 orders,phylogeny,,,see phylogenetic signal,pi
Nei and Graur 1984,allozymes,,800,animals,Nc,population size,0.5329,based on summary in Frankham 1996; could not find original manuscript,heterozygosity
Nevo 1988,allozymes,814,1500,all life,environment,"ecological factors (biome, habitat type)",0.2,,heterozygosity
Nevo 1988,allozymes,38,1500,all life,environment,environmental variation,,"significant, but not measured",He
Nybom 2004,many types,306,300,multiple orders,life history,life form,,"significant, but not measured",Hpop
Nybom 2004,many types,306,300,multiple orders,life history,breeding system,,"significant, but not measured",Hpop
Nybom 2004,many types,306,300,multiple orders,life history,successional status,,"significant, but not measured",Hpop
Nybom and Bartish 2000,RAPD & isozymes,41,300,multiple orders,phylogeny,taxonomy,,"significant, but not measured",Hpop
Nybom and Bartish 2000,RAPD & isozymes,41,300,multiple orders,life history,breeding system,,"significant, but not measured",Hpop
Nybom and Bartish 2000,RAPD & isozymes,41,300,multiple orders,life history,successional status,,"significant, but not measured",Hpop
Packer et al. 2005,allozymes,10,110,multiple orders,life history,pollen specialization,,"significant, but not measured",He
Papadopoulou et al. 2011,mtDNA / nDNA,,200,5 tribes,,species diversity,0.5,approximate estimate,pi
Perry et al. 2011,nDNA,16,74,multiple orders,Nc,conservation status,,"not significant, not measured",synonymous pi
Pinsky and Palumbi 2013,microsats,140,200,fish,demographic history,overfishing,,"significant, but not measured",He
Roberts and Hamann 2015,mixed,21,300,multiple families,demographic history,total area of LGM refugia,0.55,,allelic richness
Romiguier et al. 2014,nDNA,76,800,animals,life history,r vs. K,0.73,also see family-level pattern,"pi, silent"
Roselius et al. 2005,nDNA,5,5,one genus,life history,selfing vs. not,,"significant, but not measured",Watterson's Theta
Rossetto et al 2009,SSRs,11,300,multiple orders,,resprouting environment,,"significant, but not measured",pi
Shaffer and Breden 1989,allozymes,102,200,salamanders,life history,life history,,"significant, but not measured",H
Singhal et al,,81,20,one genus,Nc,museum occurrences,0.15,,pi
Soltis and Gitzendanner 1999,allozymes,,300,plants,Nc,rarity,,"significant, but not measured",multiple metrics
Soule 1976,allozymes,,800,animals,Nc,population size,0.49,based on summary in Frankham 1996; could not find original manuscript,heterozygosity
Taberlet et al. 2012,AFLPs,29,160,multiple families,Nc,species rarity,0.0841,Carpathians; not significant,allelic richness
Taberlet et al. 2012,AFLPs,27,160,multiple families,,species endemism,0.142129,Alps,allelic richness
Thiel-Egenter et al. 2009,AFLPs,22,160,15 families,life history,pollination mode,,"significant, but not measured",pi
Ward et al 1994,allozymes,113,200,fish,environment,"habitat type (marine, freshwater)",,"significant, but not measured",Hs
Wooten and Smith 1985,allozymes,138,100,multiple orders,Nc,body size,0.13,,H
